Experiment, Ambient, Above, Below, datetime, time_since_start, Done
baseline_hot,26.14,25.95,25.82,2021-10-07-13:23:42,0.00,False 
baseline_hot,26.14,25.95,25.82,2021-10-07-13:23:48,5.65,False 
baseline_hot,26.14,26.01,25.82,2021-10-07-13:23:53,11.25,False 
baseline_hot,26.14,25.95,25.82,2021-10-07-13:23:59,16.85,False 
baseline_hot,26.14,26.01,25.82,2021-10-07-13:24:05,22.53,False 
baseline_hot,26.14,26.01,25.89,2021-10-07-13:24:10,28.21,False 
baseline_hot,26.14,26.01,25.89,2021-10-07-13:24:16,33.89,False 
baseline_hot,26.14,26.01,25.82,2021-10-07-13:24:22,39.49,False 
baseline_hot,26.14,26.01,25.89,2021-10-07-13:24:27,45.17,False 
baseline_hot,26.14,26.01,25.89,2021-10-07-13:24:33,50.77,False 
baseline_hot,26.14,26.01,25.89,2021-10-07-13:24:39,56.45,False 
baseline_hot,26.14,26.01,25.89,2021-10-07-13:24:44,62.13,False 
baseline_hot,26.14,26.01,25.89,2021-10-07-13:24:50,67.81,False 
baseline_hot,26.14,26.01,25.89,2021-10-07-13:24:56,73.49,False 
baseline_hot,26.14,26.01,25.95,2021-10-07-13:25:01,79.17,False 
baseline_hot,26.14,26.07,25.95,2021-10-07-13:25:07,84.77,False 
baseline_hot,26.14,26.07,25.95,2021-10-07-13:25:13,90.46,False 
baseline_hot,26.07,26.07,25.95,2021-10-07-13:25:18,96.13,False 
baseline_hot,26.14,26.07,26.01,2021-10-07-13:25:24,101.73,False 
baseline_hot,26.14,26.07,26.01,2021-10-07-13:25:30,107.41,False 
baseline_hot,26.14,26.07,26.07,2021-10-07-13:25:35,113.09,False 
baseline_hot,26.14,26.14,26.14,2021-10-07-13:25:41,118.69,False 
baseline_hot,26.14,26.20,26.26,2021-10-07-13:25:47,124.37,False 
baseline_hot,26.14,26.20,26.32,2021-10-07-13:25:52,130.05,False 
baseline_hot,26.14,26.20,26.45,2021-10-07-13:25:58,135.65,False 
baseline_hot,26.14,26.20,26.57,2021-10-07-13:26:04,141.33,False 
baseline_hot,26.14,26.26,26.70,2021-10-07-13:26:09,147.01,False 
baseline_hot,26.07,26.26,26.76,2021-10-07-13:26:15,152.61,False 
baseline_hot,26.07,26.32,26.89,2021-10-07-13:26:20,158.29,False 
baseline_hot,26.14,26.32,27.01,2021-10-07-13:26:26,163.97,False 
baseline_hot,26.07,26.39,27.14,2021-10-07-13:26:32,169.57,False 
baseline_hot,26.07,26.39,27.26,2021-10-07-13:26:37,175.26,False 
baseline_hot,26.07,26.45,27.32,2021-10-07-13:26:43,180.93,False 
baseline_hot,26.07,26.45,27.45,2021-10-07-13:26:49,186.53,False 
baseline_hot,26.07,26.51,27.57,2021-10-07-13:26:54,192.13,False 
baseline_hot,26.07,26.57,27.64,2021-10-07-13:27:00,197.81,False 
baseline_hot,26.14,26.57,27.76,2021-10-07-13:27:06,203.41,False 
baseline_hot,26.14,26.64,27.89,2021-10-07-13:27:11,209.09,False 
baseline_hot,26.14,26.70,28.01,2021-10-07-13:27:17,214.77,False 
baseline_hot,26.14,26.76,28.07,2021-10-07-13:27:23,220.45,False 
baseline_hot,26.14,26.76,28.20,2021-10-07-13:27:28,226.13,False 
baseline_hot,26.07,26.89,28.32,2021-10-07-13:27:34,231.73,False 
baseline_hot,26.14,26.89,28.39,2021-10-07-13:27:40,237.41,False 
baseline_hot,26.07,27.01,28.57,2021-10-07-13:27:45,243.09,False 
baseline_hot,26.07,27.07,28.70,2021-10-07-13:27:51,248.69,False 
baseline_hot,26.14,27.07,28.76,2021-10-07-13:27:57,254.37,False 
baseline_hot,26.07,27.14,28.89,2021-10-07-13:28:02,260.05,False 
baseline_hot,26.14,27.14,29.01,2021-10-07-13:28:08,265.65,False 
baseline_hot,26.14,27.20,29.14,2021-10-07-13:28:14,271.33,False 
baseline_hot,26.14,27.26,29.26,2021-10-07-13:28:19,277.01,False 
baseline_hot,26.14,27.26,29.39,2021-10-07-13:28:25,282.65,False 
baseline_hot,26.14,27.32,29.51,2021-10-07-13:28:30,288.29,False 
baseline_hot,26.14,27.39,29.57,2021-10-07-13:28:36,293.97,False 
baseline_hot,26.14,27.45,29.76,2021-10-07-13:28:42,299.65,False 
baseline_hot,26.20,27.51,29.82,2021-10-07-13:28:48,305.33,False 
baseline_hot,26.20,27.57,30.01,2021-10-07-13:28:53,311.01,False 
baseline_hot,26.20,27.64,30.07,2021-10-07-13:28:59,316.61,False 
baseline_hot,26.20,27.76,30.20,2021-10-07-13:29:04,322.25,False 
baseline_hot,26.20,27.82,30.32,2021-10-07-13:29:10,327.89,False 
baseline_hot,26.20,27.89,30.39,2021-10-07-13:29:16,333.57,False 
baseline_hot,26.26,27.95,30.57,2021-10-07-13:29:21,339.25,False 
baseline_hot,26.26,27.95,30.57,2021-10-07-13:29:27,344.93,False 
baseline_hot,26.20,28.01,30.70,2021-10-07-13:29:33,350.54,False 
baseline_hot,26.26,28.07,30.82,2021-10-07-13:29:38,356.21,False 
baseline_hot,26.20,28.14,31.01,2021-10-07-13:29:44,361.81,False 
baseline_hot,26.20,28.20,31.14,2021-10-07-13:29:50,367.49,False 
baseline_hot,26.26,28.32,31.26,2021-10-07-13:29:55,373.09,False 
baseline_hot,26.20,28.39,31.39,2021-10-07-13:30:01,378.69,False 
baseline_hot,26.20,28.45,31.51,2021-10-07-13:30:07,384.37,False 
baseline_hot,26.20,28.51,31.70,2021-10-07-13:30:12,390.05,False 
baseline_hot,26.20,28.57,31.82,2021-10-07-13:30:18,395.73,False 
baseline_hot,26.20,28.57,31.95,2021-10-07-13:30:24,401.41,False 
baseline_hot,26.20,28.57,32.08,2021-10-07-13:30:29,407.09,False 
baseline_hot,26.20,28.64,32.14,2021-10-07-13:30:35,412.69,False 
baseline_hot,26.20,28.76,32.20,2021-10-07-13:30:40,418.30,False 
baseline_hot,26.20,28.76,32.33,2021-10-07-13:30:46,424.01,False 
baseline_hot,26.14,28.82,32.45,2021-10-07-13:30:52,429.65,False 
baseline_hot,26.20,28.95,32.51,2021-10-07-13:30:58,435.33,False 
baseline_hot,26.14,28.95,32.64,2021-10-07-13:31:03,441.01,False 
baseline_hot,26.14,28.95,32.70,2021-10-07-13:31:09,446.61,False 
baseline_hot,26.14,28.95,32.76,2021-10-07-13:31:14,452.29,False 
baseline_hot,26.14,29.07,32.83,2021-10-07-13:31:20,458.01,False 
baseline_hot,26.14,29.07,32.89,2021-10-07-13:31:26,463.65,False 
baseline_hot,26.14,29.14,32.95,2021-10-07-13:31:32,469.33,False 
baseline_hot,26.14,29.20,33.08,2021-10-07-13:31:37,474.93,False 
baseline_hot,26.14,29.26,33.20,2021-10-07-13:31:43,480.54,False 
baseline_hot,26.14,29.32,33.26,2021-10-07-13:31:48,486.21,False 
baseline_hot,26.07,29.32,33.33,2021-10-07-13:31:54,491.89,False 
baseline_hot,26.07,29.45,33.39,2021-10-07-13:32:00,497.58,False 
baseline_hot,26.07,29.51,33.58,2021-10-07-13:32:05,503.25,False 
baseline_hot,26.07,29.57,33.70,2021-10-07-13:32:11,508.85,False 
baseline_hot,26.07,29.64,33.83,2021-10-07-13:32:17,514.53,False 
baseline_hot,26.07,29.70,33.95,2021-10-07-13:32:22,520.21,False 
baseline_hot,26.01,29.70,34.08,2021-10-07-13:32:28,525.81,False 
baseline_hot,26.01,29.76,34.14,2021-10-07-13:32:34,531.49,False 
baseline_hot,26.01,29.76,34.20,2021-10-07-13:32:39,537.17,False 
baseline_hot,26.01,29.82,34.26,2021-10-07-13:32:45,542.78,False 
