Experiment, Ambient, Above, Below, datetime, time_since_start, Done
new_baseline,25.07,25.07,25.20,2021-10-17-13:50:13,0.00,False 
new_baseline,25.07,25.14,25.20,2021-10-17-13:50:19,5.64,False 
new_baseline,25.14,25.14,25.20,2021-10-17-13:50:25,11.31,False 
new_baseline,25.14,25.14,25.20,2021-10-17-13:50:30,16.91,False 
new_baseline,25.14,25.14,25.26,2021-10-17-13:50:36,22.60,False 
new_baseline,25.14,25.14,25.20,2021-10-17-13:50:42,28.27,False 
new_baseline,25.14,25.14,25.20,2021-10-17-13:50:47,33.95,False 
new_baseline,25.20,25.07,25.20,2021-10-17-13:50:53,39.55,False 
new_baseline,25.20,25.07,25.20,2021-10-17-13:50:59,45.15,False 
new_baseline,25.20,25.14,25.20,2021-10-17-13:51:04,50.83,False 
new_baseline,25.20,25.14,25.20,2021-10-17-13:51:10,56.51,False 
new_baseline,25.20,25.14,25.20,2021-10-17-13:51:16,62.20,False 
new_baseline,25.20,25.14,25.20,2021-10-17-13:51:21,67.88,False 
new_baseline,25.20,25.14,25.20,2021-10-17-13:51:27,73.56,False 
new_baseline,25.26,25.14,25.20,2021-10-17-13:51:33,79.23,False 
new_baseline,25.26,25.14,25.20,2021-10-17-13:51:38,84.83,False 
new_baseline,25.26,25.14,25.26,2021-10-17-13:51:44,90.51,False 
new_baseline,25.26,25.14,25.20,2021-10-17-13:51:50,96.19,False 
new_baseline,25.26,25.14,25.20,2021-10-17-13:51:55,101.79,False 
new_baseline,25.26,25.14,25.20,2021-10-17-13:52:01,107.39,False 
new_baseline,25.26,25.14,25.20,2021-10-17-13:52:07,113.07,False 
new_baseline,25.26,25.14,25.20,2021-10-17-13:52:12,118.83,False 
new_baseline,25.26,25.14,25.20,2021-10-17-13:52:18,124.51,False 
new_baseline,25.26,25.14,25.26,2021-10-17-13:52:24,130.19,False 
new_baseline,25.32,25.14,25.26,2021-10-17-13:52:29,135.79,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:52:35,141.51,False 
new_baseline,25.32,25.14,25.26,2021-10-17-13:52:41,147.15,False 
new_baseline,25.32,25.20,25.20,2021-10-17-13:52:46,152.75,False 
new_baseline,25.32,25.14,25.20,2021-10-17-13:52:52,158.43,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:52:58,164.11,False 
new_baseline,25.32,25.14,25.26,2021-10-17-13:53:03,169.71,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:53:09,175.39,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:53:15,181.07,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:53:20,186.75,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:53:26,192.36,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:53:31,198.03,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:53:37,203.64,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:53:43,209.31,False 
new_baseline,25.39,25.20,25.26,2021-10-17-13:53:48,214.99,False 
new_baseline,25.39,25.20,25.26,2021-10-17-13:53:54,220.67,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:54:00,226.28,False 
new_baseline,25.32,25.20,25.26,2021-10-17-13:54:05,231.96,False 
new_baseline,25.39,25.20,25.26,2021-10-17-13:54:11,237.64,False 
new_baseline,25.39,25.20,25.26,2021-10-17-13:54:17,243.31,False 
new_baseline,25.39,25.20,25.26,2021-10-17-13:54:22,248.99,False 
new_baseline,25.39,25.26,25.26,2021-10-17-13:54:28,254.59,False 
new_baseline,25.39,25.20,25.26,2021-10-17-13:54:34,260.20,False 
new_baseline,25.39,25.26,25.26,2021-10-17-13:54:39,265.87,False 
new_baseline,25.39,25.26,25.26,2021-10-17-13:54:45,271.61,False 
new_baseline,25.39,25.20,25.26,2021-10-17-13:54:51,277.30,False 
new_baseline,25.39,25.26,25.32,2021-10-17-13:54:56,282.91,False 
new_baseline,25.39,25.26,25.32,2021-10-17-13:55:02,288.57,False 
new_baseline,25.39,25.26,25.32,2021-10-17-13:55:08,294.20,False 
new_baseline,25.45,25.20,25.39,2021-10-17-13:55:13,299.87,False 
