Experiment, Ambient, Above, Below, datetime, time_since_start, Done
new_baseline_2,25.57,25.57,25.64,2021-10-18-10:44:39,0.00,False 
new_baseline_2,25.57,25.57,25.64,2021-10-18-10:44:44,5.60,False 
new_baseline_2,25.57,25.64,25.64,2021-10-18-10:44:50,11.20,False 
new_baseline_2,25.57,25.57,25.64,2021-10-18-10:44:55,16.80,False 
new_baseline_2,25.57,25.64,25.64,2021-10-18-10:45:01,22.40,False 
new_baseline_2,25.57,25.64,25.64,2021-10-18-10:45:07,28.08,False 
new_baseline_2,25.57,25.64,25.64,2021-10-18-10:45:12,33.76,False 
new_baseline_2,25.64,25.64,25.64,2021-10-18-10:45:18,39.36,False 
new_baseline_2,25.57,25.64,25.64,2021-10-18-10:45:24,45.04,False 
new_baseline_2,25.64,25.64,25.64,2021-10-18-10:45:29,50.68,False 
new_baseline_2,25.64,25.64,25.64,2021-10-18-10:45:35,56.32,False 
new_baseline_2,25.64,25.64,25.64,2021-10-18-10:45:41,62.00,False 
new_baseline_2,25.64,25.64,25.64,2021-10-18-10:45:46,67.68,False 
new_baseline_2,25.64,25.64,25.64,2021-10-18-10:45:52,73.36,False 
new_baseline_2,25.64,25.64,25.70,2021-10-18-10:45:58,79.04,False 
new_baseline_2,25.64,25.64,25.70,2021-10-18-10:46:03,84.72,False 
new_baseline_2,25.64,25.64,25.70,2021-10-18-10:46:09,90.32,False 
new_baseline_2,25.64,25.64,25.76,2021-10-18-10:46:15,96.01,False 
new_baseline_2,25.64,25.70,25.76,2021-10-18-10:46:20,101.68,False 
new_baseline_2,25.64,25.70,25.82,2021-10-18-10:46:26,107.36,False 
new_baseline_2,25.64,25.76,25.82,2021-10-18-10:46:32,113.04,False 
new_baseline_2,25.64,25.76,25.89,2021-10-18-10:46:37,118.76,False 
new_baseline_2,25.64,25.76,25.95,2021-10-18-10:46:43,124.40,False 
new_baseline_2,25.64,25.76,26.01,2021-10-18-10:46:49,130.09,False 
new_baseline_2,25.64,25.82,26.14,2021-10-18-10:46:54,135.76,False 
new_baseline_2,25.64,25.82,26.20,2021-10-18-10:47:00,141.36,False 
new_baseline_2,25.57,25.82,26.26,2021-10-18-10:47:06,147.04,False 
new_baseline_2,25.64,25.89,26.32,2021-10-18-10:47:11,152.72,False 
new_baseline_2,25.64,25.89,26.39,2021-10-18-10:47:17,158.40,False 
new_baseline_2,25.64,25.95,26.51,2021-10-18-10:47:23,164.08,False 
new_baseline_2,25.64,25.95,26.57,2021-10-18-10:47:28,169.76,False 
new_baseline_2,25.64,26.01,26.64,2021-10-18-10:47:34,175.36,False 
new_baseline_2,25.64,26.07,26.76,2021-10-18-10:47:40,181.04,False 
new_baseline_2,25.64,26.07,26.82,2021-10-18-10:47:45,186.72,False 
new_baseline_2,25.64,26.14,26.89,2021-10-18-10:47:51,192.40,False 
new_baseline_2,25.64,26.14,26.95,2021-10-18-10:47:57,198.08,False 
new_baseline_2,25.64,26.20,27.01,2021-10-18-10:48:02,203.80,False 
new_baseline_2,25.64,26.26,27.14,2021-10-18-10:48:08,209.44,False 
new_baseline_2,25.64,26.26,27.20,2021-10-18-10:48:14,215.12,False 
new_baseline_2,25.57,26.32,27.26,2021-10-18-10:48:19,220.80,False 
new_baseline_2,25.64,26.32,27.39,2021-10-18-10:48:25,226.41,False 
new_baseline_2,25.64,26.39,27.45,2021-10-18-10:48:31,232.08,False 
new_baseline_2,25.64,26.39,27.57,2021-10-18-10:48:36,237.76,False 
new_baseline_2,25.64,26.39,27.64,2021-10-18-10:48:42,243.36,False 
new_baseline_2,25.64,26.45,27.70,2021-10-18-10:48:48,249.04,False 
new_baseline_2,25.64,26.45,27.70,2021-10-18-10:48:53,254.72,False 
new_baseline_2,25.64,26.51,27.76,2021-10-18-10:48:59,260.32,False 
new_baseline_2,25.64,26.57,27.82,2021-10-18-10:49:05,266.00,False 
new_baseline_2,25.64,26.64,27.89,2021-10-18-10:49:10,271.68,False 
new_baseline_2,25.64,26.64,27.95,2021-10-18-10:49:16,277.36,False 
new_baseline_2,25.64,26.70,28.01,2021-10-18-10:49:22,283.04,False 
new_baseline_2,25.64,26.70,28.07,2021-10-18-10:49:27,288.72,False 
new_baseline_2,25.64,26.76,28.07,2021-10-18-10:49:33,294.36,False 
new_baseline_2,25.64,26.76,28.20,2021-10-18-10:49:39,300.01,False 
new_baseline_2,25.64,26.82,28.26,2021-10-18-10:49:44,305.68,False 
new_baseline_2,25.64,26.89,28.32,2021-10-18-10:49:50,311.36,False 
new_baseline_2,25.64,26.89,28.39,2021-10-18-10:49:56,317.05,False 
new_baseline_2,25.64,26.95,28.45,2021-10-18-10:50:01,322.76,False 
new_baseline_2,25.64,26.95,28.45,2021-10-18-10:50:07,328.40,False 
new_baseline_2,25.64,26.95,28.57,2021-10-18-10:50:13,334.08,False 
new_baseline_2,25.64,27.01,28.64,2021-10-18-10:50:18,339.76,False 
new_baseline_2,25.64,27.07,28.70,2021-10-18-10:50:24,345.36,False 
new_baseline_2,25.64,27.14,28.82,2021-10-18-10:50:30,351.04,False 
new_baseline_2,25.64,27.14,28.89,2021-10-18-10:50:35,356.72,False 
new_baseline_2,25.64,27.20,28.95,2021-10-18-10:50:41,362.33,False 
new_baseline_2,25.64,27.20,29.01,2021-10-18-10:50:47,368.01,False 
new_baseline_2,25.64,27.26,29.07,2021-10-18-10:50:52,373.68,False 
new_baseline_2,25.64,27.32,29.14,2021-10-18-10:50:58,379.28,False 
new_baseline_2,25.64,27.39,29.20,2021-10-18-10:51:04,384.96,False 
new_baseline_2,25.64,27.39,29.32,2021-10-18-10:51:09,390.64,False 
new_baseline_2,25.64,27.39,29.39,2021-10-18-10:51:15,396.24,False 
new_baseline_2,25.64,27.45,29.39,2021-10-18-10:51:21,401.92,False 
new_baseline_2,25.64,27.45,29.51,2021-10-18-10:51:26,407.52,False 
new_baseline_2,25.64,27.51,29.57,2021-10-18-10:51:32,413.20,False 
new_baseline_2,25.64,27.57,29.64,2021-10-18-10:51:38,418.88,False 
new_baseline_2,25.64,27.64,29.70,2021-10-18-10:51:43,424.48,False 
new_baseline_2,25.64,27.70,29.82,2021-10-18-10:51:49,430.16,False 
new_baseline_2,25.64,27.70,29.89,2021-10-18-10:51:54,435.84,False 
new_baseline_2,25.64,27.76,29.95,2021-10-18-10:52:00,441.44,False 
new_baseline_2,25.64,27.76,30.01,2021-10-18-10:52:06,447.12,False 
new_baseline_2,25.64,27.76,30.07,2021-10-18-10:52:11,452.80,False 
new_baseline_2,25.64,27.82,30.14,2021-10-18-10:52:17,458.40,False 
new_baseline_2,25.64,27.89,30.20,2021-10-18-10:52:23,464.08,False 
new_baseline_2,25.64,27.95,30.26,2021-10-18-10:52:28,469.76,False 
new_baseline_2,25.64,28.01,30.32,2021-10-18-10:52:34,475.36,False 
new_baseline_2,25.64,28.07,30.45,2021-10-18-10:52:40,481.05,False 
new_baseline_2,25.64,28.14,30.57,2021-10-18-10:52:45,486.73,False 
new_baseline_2,25.64,28.20,30.64,2021-10-18-10:52:51,492.40,False 
new_baseline_2,25.64,28.20,30.76,2021-10-18-10:52:57,498.08,False 
new_baseline_2,25.64,28.26,30.82,2021-10-18-10:53:02,503.76,False 
new_baseline_2,25.64,28.26,30.89,2021-10-18-10:53:08,509.36,False 
new_baseline_2,25.64,28.26,31.01,2021-10-18-10:53:14,514.96,False 
new_baseline_2,25.64,28.32,31.07,2021-10-18-10:53:19,520.64,False 
new_baseline_2,25.64,28.39,31.20,2021-10-18-10:53:25,526.32,False 
new_baseline_2,25.64,28.45,31.32,2021-10-18-10:53:31,531.92,False 
new_baseline_2,25.64,28.51,31.39,2021-10-18-10:53:36,537.52,False 
new_baseline_2,25.64,28.51,31.45,2021-10-18-10:53:42,543.13,False 
new_baseline_2,25.64,28.51,31.57,2021-10-18-10:53:47,548.81,False 
new_baseline_2,25.64,28.57,31.64,2021-10-18-10:53:53,554.49,False 
new_baseline_2,25.64,28.64,31.76,2021-10-18-10:53:59,560.17,False 
new_baseline_2,25.64,28.70,31.82,2021-10-18-10:54:05,565.85,False 
new_baseline_2,25.64,28.76,31.89,2021-10-18-10:54:10,571.53,False 
new_baseline_2,25.64,28.82,31.89,2021-10-18-10:54:16,577.21,False 
new_baseline_2,25.64,28.89,31.95,2021-10-18-10:54:22,582.89,False 
new_baseline_2,25.64,28.95,32.08,2021-10-18-10:54:27,588.64,False 
new_baseline_2,25.64,29.01,32.14,2021-10-18-10:54:33,594.33,False 
new_baseline_2,25.64,29.01,32.20,2021-10-18-10:54:39,600.00,False 
new_baseline_2,25.64,29.01,32.20,2021-10-18-10:54:44,605.61,False 
new_baseline_2,25.64,29.01,32.26,2021-10-18-10:54:50,611.28,False 
new_baseline_2,25.64,29.07,32.26,2021-10-18-10:54:56,616.96,False 
new_baseline_2,25.64,29.07,32.33,2021-10-18-10:55:01,622.56,False 
new_baseline_2,25.64,29.14,32.33,2021-10-18-10:55:07,628.25,False 
new_baseline_2,25.64,29.14,32.39,2021-10-18-10:55:13,633.92,False 
new_baseline_2,25.64,29.14,32.45,2021-10-18-10:55:18,639.52,False 
new_baseline_2,25.64,29.20,32.51,2021-10-18-10:55:24,645.20,False 
new_baseline_2,25.64,29.26,32.64,2021-10-18-10:55:30,650.88,False 
new_baseline_2,25.64,29.32,32.70,2021-10-18-10:55:35,656.48,False 
new_baseline_2,25.64,29.32,32.76,2021-10-18-10:55:41,662.17,False 
new_baseline_2,25.64,29.45,32.89,2021-10-18-10:55:46,667.84,False 
new_baseline_2,25.70,29.45,32.95,2021-10-18-10:55:52,673.44,False 
new_baseline_2,25.70,29.51,33.08,2021-10-18-10:55:58,679.12,False 
new_baseline_2,25.70,29.57,33.14,2021-10-18-10:56:03,684.81,False 
new_baseline_2,25.70,29.64,33.20,2021-10-18-10:56:09,690.48,False 
new_baseline_2,25.64,29.64,33.33,2021-10-18-10:56:15,696.08,False 
new_baseline_2,25.64,29.70,33.39,2021-10-18-10:56:20,701.76,False 
new_baseline_2,25.70,29.76,33.45,2021-10-18-10:56:26,707.36,False 
new_baseline_2,25.64,29.82,33.51,2021-10-18-10:56:32,713.05,False 
new_baseline_2,25.64,29.82,33.58,2021-10-18-10:56:37,718.72,False 
new_baseline_2,25.70,29.89,33.64,2021-10-18-10:56:43,724.32,False 
new_baseline_2,25.64,29.82,33.64,2021-10-18-10:56:49,730.00,False 
new_baseline_2,25.70,29.82,33.70,2021-10-18-10:56:54,735.60,False 
new_baseline_2,25.64,29.82,33.64,2021-10-18-10:57:00,741.37,False 
new_baseline_2,25.64,29.89,33.70,2021-10-18-10:57:06,747.04,False 
new_baseline_2,25.70,29.95,33.76,2021-10-18-10:57:11,752.76,False 
new_baseline_2,25.70,30.01,33.89,2021-10-18-10:57:17,758.40,False 
new_baseline_2,25.70,30.01,34.01,2021-10-18-10:57:23,764.09,False 
new_baseline_2,25.70,30.07,34.08,2021-10-18-10:57:28,769.77,False 
new_baseline_2,25.70,30.07,34.26,2021-10-18-10:57:34,775.44,False 
new_baseline_2,25.70,30.14,34.33,2021-10-18-10:57:40,781.12,False 
new_baseline_2,25.70,30.20,34.39,2021-10-18-10:57:45,786.80,False 
new_baseline_2,25.70,30.20,34.51,2021-10-18-10:57:51,792.40,False 
new_baseline_2,25.70,30.20,34.58,2021-10-18-10:57:57,798.09,False 
new_baseline_2,25.70,30.20,34.64,2021-10-18-10:58:02,803.76,False 
new_baseline_2,25.64,30.20,34.64,2021-10-18-10:58:08,809.36,False 
