Experiment, Ambient, Above, Below, datetime, time_since_start, Done
swatch_1-merino-gr-b,25.57,25.76,25.82,2021-10-19-09:28:03,0.00,False 
swatch_1-merino-gr-b,25.57,25.76,25.82,2021-10-19-09:28:09,5.68,False 
swatch_1-merino-gr-b,25.57,25.76,25.76,2021-10-19-09:28:15,11.28,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:28:20,16.88,False 
swatch_1-merino-gr-b,25.64,25.76,25.76,2021-10-19-09:28:26,22.48,False 
swatch_1-merino-gr-b,25.64,25.76,25.76,2021-10-19-09:28:32,28.16,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:28:37,33.84,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:28:43,39.45,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:28:49,45.12,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:28:54,50.80,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:29:00,56.48,False 
swatch_1-merino-gr-b,25.64,25.82,25.82,2021-10-19-09:29:06,62.16,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:29:11,67.84,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:29:17,73.44,False 
swatch_1-merino-gr-b,25.64,25.76,25.76,2021-10-19-09:29:23,79.12,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:29:28,84.72,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:29:34,90.40,False 
swatch_1-merino-gr-b,25.64,25.76,25.76,2021-10-19-09:29:40,96.08,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:29:45,101.68,False 
swatch_1-merino-gr-b,25.64,25.82,25.76,2021-10-19-09:29:51,107.28,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:29:56,112.96,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:30:02,118.64,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:30:08,124.32,False 
swatch_1-merino-gr-b,25.70,25.76,25.82,2021-10-19-09:30:13,130.00,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:30:19,135.60,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:30:25,141.28,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:30:30,146.96,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:30:36,152.64,False 
swatch_1-merino-gr-b,25.64,25.76,25.76,2021-10-19-09:30:42,158.32,False 
swatch_1-merino-gr-b,25.64,25.76,25.76,2021-10-19-09:30:47,164.00,False 
swatch_1-merino-gr-b,25.64,25.76,25.82,2021-10-19-09:30:53,169.68,False 
