Experiment, Ambient, Above, Below, datetime, time_since_start, Done
swatch_2-paper_towel,26.01,25.89,25.89,2021-10-08-08:42:11,0.00,False 
swatch_2-paper_towel,26.01,25.95,25.89,2021-10-08-08:42:17,5.62,False 
swatch_2-paper_towel,26.07,25.95,25.95,2021-10-08-08:42:23,11.22,False 
swatch_2-paper_towel,26.01,25.95,25.89,2021-10-08-08:42:28,16.82,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:42:34,22.42,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:42:40,28.10,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:42:45,33.78,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:42:51,39.38,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:42:56,44.98,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:02,50.58,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:08,56.26,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:13,61.94,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:19,67.54,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:25,73.14,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:30,78.82,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:36,84.42,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:42,90.10,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:47,95.78,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:43:53,101.38,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:43:58,107.06,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:44:04,112.78,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:44:10,118.42,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:44:16,124.10,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:44:21,129.78,False 
swatch_2-paper_towel,25.95,26.01,25.95,2021-10-08-08:44:27,135.38,False 
swatch_2-paper_towel,26.01,26.01,26.01,2021-10-08-08:44:32,140.98,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:44:38,146.58,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:44:44,152.26,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:44:49,157.94,False 
swatch_2-paper_towel,25.95,26.01,25.95,2021-10-08-08:44:55,163.54,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:45:01,169.14,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:45:06,174.82,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:45:12,180.50,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:45:18,186.19,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:45:23,191.86,False 
swatch_2-paper_towel,26.01,25.95,26.01,2021-10-08-08:45:29,197.46,False 
swatch_2-paper_towel,25.95,25.95,25.95,2021-10-08-08:45:34,203.06,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:45:40,208.78,False 
swatch_2-paper_towel,26.01,25.95,25.95,2021-10-08-08:45:46,214.42,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:45:52,220.14,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:45:57,225.78,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:46:03,231.38,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:46:08,236.98,False 
swatch_2-paper_towel,26.01,25.95,26.01,2021-10-08-08:46:14,242.66,False 
swatch_2-paper_towel,26.01,26.01,25.95,2021-10-08-08:46:20,248.34,False 
