Experiment, Ambient, Above, Below, datetime, time_since_start, Done
swatch_3_llama-s_u,25.32,25.14,25.26,2021-10-20-09:48:52,0.00,False 
swatch_3_llama-s_u,25.32,25.14,25.32,2021-10-20-09:48:58,5.65,False 
swatch_3_llama-s_u,25.32,25.14,25.26,2021-10-20-09:49:04,11.25,False 
swatch_3_llama-s_u,25.32,25.14,25.32,2021-10-20-09:49:09,16.89,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:49:15,22.54,False 
swatch_3_llama-s_u,25.32,25.14,25.32,2021-10-20-09:49:20,28.21,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:49:26,33.82,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:49:32,39.50,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:49:38,45.25,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:49:43,50.86,False 
swatch_3_llama-s_u,25.26,25.14,25.39,2021-10-20-09:49:49,56.54,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:49:55,62.22,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:50:00,67.90,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:50:06,73.58,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:50:12,79.25,False 
swatch_3_llama-s_u,25.26,25.20,25.32,2021-10-20-09:50:17,84.85,False 
swatch_3_llama-s_u,25.32,25.20,25.32,2021-10-20-09:50:23,90.46,False 
swatch_3_llama-s_u,25.26,25.14,25.32,2021-10-20-09:50:28,96.14,False 
swatch_3_llama-s_u,25.26,25.20,25.39,2021-10-20-09:50:34,101.82,False 
swatch_3_llama-s_u,25.26,25.20,25.32,2021-10-20-09:50:40,107.58,False 
swatch_3_llama-s_u,25.26,25.20,25.32,2021-10-20-09:50:46,113.26,False 
swatch_3_llama-s_u,25.26,25.20,25.39,2021-10-20-09:50:51,118.94,False 
swatch_3_llama-s_u,25.26,25.20,25.39,2021-10-20-09:50:57,124.62,False 
swatch_3_llama-s_u,25.26,25.20,25.39,2021-10-20-09:51:03,130.30,False 
swatch_3_llama-s_u,25.26,25.20,25.32,2021-10-20-09:51:08,135.98,False 
swatch_3_llama-s_u,25.26,25.20,25.32,2021-10-20-09:51:14,141.66,False 
swatch_3_llama-s_u,25.26,25.20,25.39,2021-10-20-09:51:20,147.34,False 
swatch_3_llama-s_u,25.26,25.20,25.39,2021-10-20-09:51:25,153.02,False 
swatch_3_llama-s_u,25.26,25.20,25.32,2021-10-20-09:51:31,158.78,False 
swatch_3_llama-s_u,25.26,25.20,25.39,2021-10-20-09:51:37,164.46,False 
swatch_3_llama-s_u,25.26,25.20,25.32,2021-10-20-09:51:42,170.14,False 
swatch_3_llama-s_u,25.26,25.20,25.32,2021-10-20-09:51:48,175.82,False 
swatch_3_llama-s_u,25.26,25.20,25.39,2021-10-20-09:51:54,181.50,False 
swatch_3_llama-s_u,25.26,25.20,25.32,2021-10-20-09:51:59,187.18,False 
