Experiment, Ambient, Above, Below, datetime, time_since_start, Done
swatch_3_llama_s_u,24.70,24.57,24.57,2021-10-14-09:15:28,0.00,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:15:33,5.64,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:15:39,11.24,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:15:45,16.84,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:15:50,22.52,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:15:56,28.20,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:16:02,33.88,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:16:07,39.48,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:16:13,45.08,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:16:18,50.76,False 
swatch_3_llama_s_u,24.70,24.64,24.64,2021-10-14-09:16:24,56.48,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:16:30,62.12,False 
swatch_3_llama_s_u,24.70,24.64,24.64,2021-10-14-09:16:36,67.80,False 
swatch_3_llama_s_u,24.70,24.57,24.70,2021-10-14-09:16:41,73.48,False 
swatch_3_llama_s_u,24.70,24.64,24.64,2021-10-14-09:16:47,79.08,False 
swatch_3_llama_s_u,24.64,24.57,24.70,2021-10-14-09:16:52,84.76,False 
swatch_3_llama_s_u,24.70,24.64,24.70,2021-10-14-09:16:58,90.52,False 
swatch_3_llama_s_u,24.70,24.57,24.64,2021-10-14-09:17:04,96.12,False 
swatch_3_llama_s_u,24.70,24.64,24.70,2021-10-14-09:17:10,101.80,False 
swatch_3_llama_s_u,24.70,24.64,24.70,2021-10-14-09:17:15,107.48,False 
swatch_3_llama_s_u,24.70,24.57,24.76,2021-10-14-09:17:21,113.08,False 
swatch_3_llama_s_u,24.70,24.64,24.76,2021-10-14-09:17:26,118.76,False 
swatch_3_llama_s_u,24.70,24.64,24.82,2021-10-14-09:17:32,124.44,False 
swatch_3_llama_s_u,24.70,24.64,24.89,2021-10-14-09:17:38,130.12,False 
swatch_3_llama_s_u,24.70,24.57,24.95,2021-10-14-09:17:44,135.81,False 
swatch_3_llama_s_u,24.70,24.64,25.01,2021-10-14-09:17:49,141.48,False 
swatch_3_llama_s_u,24.70,24.64,25.14,2021-10-14-09:17:55,147.17,False 
swatch_3_llama_s_u,24.70,24.64,25.20,2021-10-14-09:18:01,152.84,False 
swatch_3_llama_s_u,24.70,24.64,25.32,2021-10-14-09:18:06,158.52,False 
swatch_3_llama_s_u,24.70,24.64,25.45,2021-10-14-09:18:12,164.21,False 
swatch_3_llama_s_u,24.70,24.64,25.57,2021-10-14-09:18:18,169.89,False 
swatch_3_llama_s_u,24.70,24.64,25.64,2021-10-14-09:18:23,175.56,False 
swatch_3_llama_s_u,24.70,24.64,25.76,2021-10-14-09:18:29,181.25,False 
swatch_3_llama_s_u,24.70,24.64,25.89,2021-10-14-09:18:35,186.93,False 
swatch_3_llama_s_u,24.70,24.64,26.01,2021-10-14-09:18:40,192.60,False 
swatch_3_llama_s_u,24.70,24.64,26.14,2021-10-14-09:18:46,198.20,False 
swatch_3_llama_s_u,24.70,24.64,26.20,2021-10-14-09:18:52,203.88,False 
swatch_3_llama_s_u,24.70,24.64,26.32,2021-10-14-09:18:57,209.56,False 
swatch_3_llama_s_u,24.70,24.64,26.45,2021-10-14-09:19:03,215.16,False 
swatch_3_llama_s_u,24.70,24.64,26.57,2021-10-14-09:19:09,220.84,False 
swatch_3_llama_s_u,24.70,24.64,26.76,2021-10-14-09:19:14,226.52,False 
swatch_3_llama_s_u,24.70,24.64,26.89,2021-10-14-09:19:20,232.12,False 
swatch_3_llama_s_u,24.70,24.64,27.01,2021-10-14-09:19:26,237.80,False 
swatch_3_llama_s_u,24.70,24.64,27.14,2021-10-14-09:19:31,243.48,False 
swatch_3_llama_s_u,24.70,24.64,27.26,2021-10-14-09:19:37,249.08,False 
swatch_3_llama_s_u,24.70,24.70,27.39,2021-10-14-09:19:42,254.76,False 
swatch_3_llama_s_u,24.70,24.70,27.51,2021-10-14-09:19:48,260.48,False 
swatch_3_llama_s_u,24.70,24.70,27.70,2021-10-14-09:19:54,266.12,False 
swatch_3_llama_s_u,24.70,24.70,27.82,2021-10-14-09:20:00,271.80,False 
swatch_3_llama_s_u,24.70,24.70,27.95,2021-10-14-09:20:05,277.48,False 
swatch_3_llama_s_u,24.70,24.70,28.07,2021-10-14-09:20:11,283.08,False 
swatch_3_llama_s_u,24.70,24.70,28.26,2021-10-14-09:20:16,288.68,False 
swatch_3_llama_s_u,24.70,24.70,28.39,2021-10-14-09:20:22,294.37,False 
swatch_3_llama_s_u,24.70,24.76,28.51,2021-10-14-09:20:28,300.04,False 
swatch_3_llama_s_u,24.70,24.76,28.64,2021-10-14-09:20:33,305.72,False 
swatch_3_llama_s_u,24.70,24.76,28.82,2021-10-14-09:20:39,311.40,False 
swatch_3_llama_s_u,24.70,24.76,28.95,2021-10-14-09:20:45,317.00,False 
swatch_3_llama_s_u,24.70,24.76,29.07,2021-10-14-09:20:50,322.68,False 
