Experiment, Ambient, Above, Below, datetime, time_since_start, Done
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:51:29,0.00,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:51:34,5.67,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:51:40,11.27,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:51:45,16.87,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:51:51,22.47,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:51:57,28.07,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:52:02,33.75,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:52:08,39.35,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:52:14,45.07,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:52:19,50.71,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:52:25,56.31,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:52:30,61.91,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:52:36,67.59,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:52:42,73.27,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:52:48,78.95,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:52:53,84.63,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:52:59,90.23,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:53:04,95.83,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:53:10,101.51,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:53:16,107.19,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:53:21,112.88,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:53:27,118.55,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:53:33,124.15,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:53:38,129.83,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:53:44,135.43,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:53:50,141.11,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:53:55,146.79,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:01,152.39,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:07,157.99,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:12,163.67,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:54:18,169.35,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:24,175.03,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:29,180.71,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:35,186.31,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:40,191.91,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:46,197.59,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:52,203.28,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:54:58,208.95,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:55:03,214.63,False 
swatch_3_llama_s_u_repeat,25.01,24.89,24.95,2021-10-14-11:55:09,220.23,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:55:14,225.91,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:55:20,231.59,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:55:26,237.27,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:55:32,242.95,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:55:37,248.63,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:55:43,254.23,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:55:48,259.91,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:55:54,265.59,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:56:00,271.19,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:56:05,276.87,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:56:11,282.47,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:56:17,288.15,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:56:22,293.83,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:56:28,299.43,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:56:34,305.11,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:56:39,310.79,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:56:45,316.39,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:56:51,322.07,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:56:56,327.75,False 
swatch_3_llama_s_u_repeat,25.01,24.82,24.95,2021-10-14-11:57:02,333.35,False 
swatch_3_llama_s_u_repeat,25.07,24.82,25.01,2021-10-14-11:57:08,339.03,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:57:13,344.71,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:57:19,350.39,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:57:25,356.15,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:57:30,361.83,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:57:36,367.43,False 
swatch_3_llama_s_u_repeat,25.07,24.82,25.01,2021-10-14-11:57:42,373.03,False 
swatch_3_llama_s_u_repeat,25.07,24.82,25.01,2021-10-14-11:57:47,378.71,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:57:53,384.39,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:57:59,390.07,False 
swatch_3_llama_s_u_repeat,25.07,24.89,25.01,2021-10-14-11:58:04,395.75,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:58:10,401.35,False 
swatch_3_llama_s_u_repeat,25.07,24.89,25.01,2021-10-14-11:58:16,406.95,False 
swatch_3_llama_s_u_repeat,25.07,24.89,25.01,2021-10-14-11:58:21,412.63,False 
swatch_3_llama_s_u_repeat,25.07,24.82,25.01,2021-10-14-11:58:27,418.31,False 
swatch_3_llama_s_u_repeat,25.01,24.82,25.01,2021-10-14-11:58:33,423.99,False 
swatch_3_llama_s_u_repeat,25.07,24.82,25.01,2021-10-14-11:58:38,429.67,False 
swatch_3_llama_s_u_repeat,25.07,24.82,25.01,2021-10-14-11:58:44,435.27,False 
swatch_3_llama_s_u_repeat,25.07,24.82,25.01,2021-10-14-11:58:50,440.95,False 
swatch_3_llama_s_u_repeat,25.07,24.89,25.01,2021-10-14-11:58:55,446.63,False 
swatch_3_llama_s_u_repeat,25.07,24.89,25.01,2021-10-14-11:59:01,452.31,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:59:07,457.99,False 
swatch_3_llama_s_u_repeat,25.01,24.89,25.01,2021-10-14-11:59:12,463.67,False 
swatch_3_llama_s_u_repeat,25.07,24.82,25.01,2021-10-14-11:59:18,469.27,False 
swatch_3_llama_s_u_repeat,25.07,24.89,25.01,2021-10-14-11:59:24,474.95,False 
